,comment,toxic,actual_toxic,actual_cap
0,YOU ARE AN AMAZING PERSON AND I FEEL LUCKY TO KNOW YOU. YOUR POSITIVITY AND ENCOURAGEMENT HAVE MADE A DIFFERENCE IN MY LIFE AND I AM GRATEFUL FOR YOU.,0,0,1
1,WHAT THE HELL    JUSTIN,1,0,1
2,WPSOAPBOX WPFORUM ETC PLEASE ENGAGE IN YOUR CONSPIRATORIAL FANTASIES ELSEWHERE.,0,0,1
3,FIRESTAR IS A POWER HUNGRY ARSE,1,1,1
4,MONKEY B UTT SCRFATCHER MONKEY BUTT SCRATCH MONKEY BUTT SCRATCHER,1,1,1
5,ANOYMOUS ARE ARE A BUNCH OF CUNTS WHICH ARE SCARED TO SHOW THEM SELVES TO THE REAL WORLD,1,1,1
6,Thanks for the comment about Wikidefenderness I like that one I usually wikiling Wikidefender I agree that at first he was somewhat innocent but now have my doubts as he is being really agressive about the whole matter,0,0,0
7,   That Stephen Barrett is not Board Certified is not a viewpoint It is a fact a well documented one at that I dont see how WPPROMINENCE applies    ,0,0,0
8,This is a REDIRECT discussion page Please do not leave article related discussion here  Please go to the articles discussion page,0,0,0
9, willeys    if u are a male with no willey then u are likley to be gay lol,1,1,0
10,kevin bravo is a faggot,1,1,0
11,Shut up please this consensus is over,1,1,0
